OrgDefinedId,Username,ex1 Points Grade <Numeric MaxPoints:2>,ex3 Points Grade <Numeric MaxPoints:2>,ex6 Points Grade <Numeric MaxPoints:2>,ex2 Points Grade <Numeric MaxPoints:2>,ex5 Points Grade <Numeric MaxPoints:2>,ex4 Points Grade <Numeric MaxPoints:2>,assignment 1 Points Grade <Numeric MaxPoints:13>,assignment 2 Points Grade <Numeric MaxPoints:13>,assignment 3 Points Grade <Numeric MaxPoints:13>,assignment 4 Points Grade <Numeric MaxPoints:13>,assignment 5 Points Grade <Numeric MaxPoints:13>,assignment 6 Points Grade <Numeric MaxPoints:13>,presentation Points Grade <Numeric MaxPoints:10>,essay Points Grade <Numeric MaxPoints:30>,End-of-Line Indicator
#1,#bob,0,2,2,2,2,2,6.5,7,,9.23,,10.66,,20,#
#2,#bob,2,2,,2,2,,12.6,13,12.48,,12.48,,9,27,#
#3,#bob,0,2,,0,2,,,,5.2,,,,,0,#
#4,#bob,2,2,,0,2,2,,,11.96,12.48,10.79,12.22,9,27,#
#5,#bob,2,2,,2,2,2,5.71,10.5,10.79,11.05,,11.31,7.8,18,#
#6,#bob,2,2,2,0,,2,,,10.4,11.18,11.18,,7,16,#
#7,#bob,2,2,2,2,2,2,9.85,11.8,10.66,11.44,11.31,,7.5,18,#
#8,#bob,2,,,2,2,2,7.48,9.5,10.53,10.92,,,,18,#
#9,#bob,2,2,,2,,2,6.9,10,10.27,11.57,,,8.8,20,#
#10,#bob,2,2,2,0,2,2,12.8,,11.05,10.92,11.18,,8.8,21,#
#11,#bob,2,,2,2,2,,,,11.44,10.79,11.31,11.83,9,20,#
#12,#bob,0,,,0,2,2,9.06,9,,,12.61,12.61,8.8,27,#
#13,#bob,2,2,2,2,,2,7.29,11.2,11.05,11.31,,11.57,8.8,22,#
#14,#bob,2,2,,2,,,2.17,12,12.35,10.92,11.57,,9,23,#
#15,#bob,2,2,2,2,2,,5.9,10.2,10.66,11.18,11.05,11.18,8,22,#
#16,#bob,2,2,,2,,2,6.1,11.2,10.4,10.79,10.92,,8.5,18,#
#17,#bob,2,2,2,2,2,,6.89,9.8,6.76,10.66,,10.92,8.5,20,#
#18,#bob,2,2,,2,2,2,8.08,5,,10.27,9.62,,9,27,#
#19,#bob,2,2,,0,,2,10.24,,11.44,11.44,12.22,12.87,8.5,27,#
#20,#bob,2,2,,0,,2,10.24,11.3,,,,7.54,7,21,#
#21,#bob,2,2,2,2,2,2,7.1,11.3,10.4,11.57,,11.31,8.5,18,#
#22,#bob,2,2,,2,2,2,12.21,11.8,9.1,,9.36,,8,25,#
#23,#bob,0,,,0,,,0.79,,11.7,5.46,12.09,8.71,9,26,#
#24,#bob,2,2,,0,2,2,7.88,12.2,11.31,11.83,10.79,11.18,8.5,24,#
#25,#bob,0,2,2,2,,2,5.71,10,,10.66,10.27,9.75,8,21,#
#26,#bob,2,2,2,2,2,,4.5,11,11.7,11.18,9.49,10.53,8.9,24,#
#27,#bob,2,2,,2,,2,8.07,13,12.09,12.35,13,,9,27,#
#28,#bob,2,2,,2,2,2,11.42,11.3,11.31,,12.09,,9,21,#
#29,#bob,0,2,,2,2,2,8.5,9.3,10.4,11.7,,,9,18,#
#30,#bob,2,2,,2,,2,13,11.2,11.57,10.53,,,8.7,24,#
#31,#bob,2,2,,2,2,,9.85,9.5,11.57,,12.35,,9,27,#
#32,#bob,2,,,2,2,,6.1,11.7,10.66,10.79,10.4,,8.5,18,#
#33,#bob,2,2,2,2,2,2,11.42,9.7,11.7,12.35,12.61,,8.8,21,#
#34,#bob,2,2,2,2,2,2,5.71,11.8,10.53,11.7,11.57,,7.8,23,#
#35,#bob,0,2,2,0,2,2,7.1,11.3,,10.66,11.18,11.18,8.5,21,#
#36,#bob,2,2,,2,,2,9.06,8.8,,11.18,11.18,11.18,8.5,17,#
#37,#bob,2,2,,2,2,2,8.47,10.3,,,10.79,9.88,8,18,#
#38,#bob,2,2,,2,,2,9.45,8.8,,11.05,10.92,,9,25,#
#39,#bob,2,2,2,0,2,2,6.1,11.3,10.4,11.7,11.7,,8.5,21,#
#40,#bob,2,2,2,2,2,2,10.64,13,12.61,12.61,3.12,10.53,9,26,#
#41,#bob,2,,2,2,2,2,6.1,9.2,,10.92,11.05,11.18,7.8,18,#
#42,#bob,0,2,2,2,2,2,4.33,,10.4,11.05,10.01,10.92,8.3,18,#
#43,#bob,0,2,,2,2,2,6.5,10,10.66,11.18,9.75,10.79,8.5,21,#
#44,#bob,,,,2,,,,12,12.09,11.18,12.87,,8.7,28,#
#45,#bob,0,,,0,,2,6.5,,10.53,10.66,10.66,11.18,8.5,21,#
#46,#bob,2,,2,2,,2,5.12,12.2,11.83,9.75,11.31,,8.5,27,#
#47,#bob,0,2,2,2,,2,2.36,,,,10.53,11.31,8.5,15,#
#48,#bob,0,2,,2,2,2,10.05,10.5,10.4,11.18,,,,21,#
#49,#bob,2,2,2,2,2,2,8.86,10.3,,11.05,11.05,,9,24,#
#50,#bob,0,2,2,2,2,2,8.67,11.3,,11.05,11.18,11.18,8.8,24,#
#51,#bob,0,2,2,2,2,2,10.24,9.8,,10.4,10.79,10.01,8,16,#
#52,#bob,0,2,2,2,2,2,8.08,10,10.4,11.18,,,8.8,22,#
#53,#bob,2,2,2,0,,2,11.42,,11.31,10.53,,5.2,8.8,24,#
#54,#bob,2,,2,0,2,2,,,7.41,9.1,8.71,6.11,8,19,#
#55,#bob,2,2,2,2,,,10.44,,9.49,11.05,10.53,,8.8,21,#
#56,#bob,2,2,,2,2,2,11.42,12.8,,11.57,,11.05,8.8,19,#
#57,#bob,2,2,,2,2,2,12.21,13,10.4,12.74,11.96,,8.8,24,#
#58,#bob,0,2,2,2,,2,6.1,10.5,10.53,11.18,11.18,,9,20,#
#59,#bob,2,,2,2,,2,7.48,10.5,10.66,,11.05,,9,20,#
#60,#bob,2,2,,2,,2,9.65,10.5,10.53,11.05,10.79,,9,21,#
#61,#bob,2,2,,0,2,2,5.9,11.3,,11.05,8.19,10.92,8,23,#
#62,#bob,0,2,2,2,,2,5.52,,4.68,11.05,10.14,11.18,8.8,20,#
#63,#bob,2,,2,2,2,2,6.7,9.7,10.4,11.18,10.79,,8.5,18,#
